100
0 1-52; 2-48; 3-81; 4-60; 5-7; 6-28; 7-91; 8-54; 9-86; 10-2; 11-99; 12-17; 13-61; 14-76; 15-77; 16-71; 17-22; 18-78; 19-61; 20-43; 21-54; 22-95; 23-96; 24-89; 25-15; 26-21; 27-17; 28-88; 29-42; 30-71; 31-11; 32-55; 33-42; 34-99; 35-33; 36-72; 37-25; 38-31; 39-7; 40-23; 41-15; 42-79; 43-98; 44-44; 45-31; 46-30; 47-2; 48-30; 49-82; 50-19; 51-71; 52-29; 53-96; 54-63; 55-31; 56-34; 57-49; 58-43; 59-60; 60-47; 61-79; 62-84; 63-9; 64-91; 65-52; 66-17; 67-9; 68-12; 69-60; 70-67; 71-58; 72-12; 73-45; 74-52; 75-32; 76-55; 77-1; 78-45; 79-52; 80-44; 81-11; 82-95; 83-35; 84-31; 85-70; 86-93; 87-33; 88-46; 89-88; 90-83; 91-90; 92-99; 93-64; 94-57; 95-79; 96-77; 97-71; 98-69; 99-79;
81 0-11; 1-90; 2-26; 3-19; 4-49; 5-47; 6-20; 7-70; 8-6; 9-2; 10-4; 11-28; 12-39; 13-0; 14-59; 15-32; 16-17; 17-27; 18-83; 19-39; 20-1; 21-84; 22-86; 23-71; 24-34; 25-75; 26-79; 27-46; 28-83; 29-92; 30-48; 31-10; 32-65; 33-84; 34-27; 35-44; 36-56; 37-84; 38-94; 39-56; 40-80; 41-9; 42-39; 43-0; 44-77; 45-51; 46-0; 47-40; 48-33; 49-33; 50-85; 51-48; 52-20; 53-27; 54-80; 55-86; 56-17; 57-58; 58-46; 59-17; 60-84; 61-0; 62-18; 63-67; 64-70; 65-62; 66-87; 67-80; 68-43; 69-31; 70-30; 71-6; 72-1; 73-23; 74-2; 75-19; 76-55; 77-74; 78-49; 79-24; 80-92; 82-53; 83-16; 84-63; 85-48; 86-95; 87-25; 88-23; 89-18; 90-55; 91-41; 92-29; 93-93; 94-42; 95-18; 96-65; 97-46; 98-74; 99-87;
82 0-95; 1-97; 2-16; 3-56; 4-95; 5-3; 6-92; 7-5; 8-62; 9-35; 10-27; 11-5; 12-4; 13-85; 14-13; 15-74; 16-51; 17-60; 18-52; 19-71; 20-63; 21-65; 22-15; 23-39; 24-79; 25-59; 26-44; 27-39; 28-38; 29-56; 30-51; 31-15; 32-96; 33-76; 34-61; 35-59; 36-52; 37-13; 38-59; 39-0; 40-29; 41-89; 42-20; 43-72; 44-22; 45-92; 46-57; 47-29; 48-40; 49-19; 50-73; 51-62; 52-70; 53-89; 54-32; 55-82; 56-48; 57-15; 58-2; 59-91; 60-35; 61-77; 62-92; 63-1; 64-89; 65-78; 66-26; 67-2; 68-82; 69-25; 70-68; 71-90; 72-86; 73-32; 74-40; 75-21; 76-62; 77-0; 78-22; 79-82; 80-76; 81-53; 83-0; 84-54; 85-42; 86-2; 87-93; 88-31; 89-79; 90-85; 91-33; 92-3; 93-42; 94-61; 95-0; 96-18; 97-67; 98-69; 99-75;
83 0-35; 1-96; 2-6; 3-93; 4-39; 5-92; 6-38; 7-47; 8-9; 9-68; 10-29; 11-95; 12-31; 13-7; 14-1; 15-65; 16-54; 17-37; 18-77; 19-62; 20-69; 21-26; 22-70; 23-88; 24-88; 25-62; 26-46; 27-71; 28-30; 29-16; 30-31; 31-12; 32-12; 33-57; 34-47; 35-23; 36-16; 37-91; 38-70; 39-66; 40-20; 41-79; 42-5; 43-66; 44-69; 45-40; 46-62; 47-98; 48-48; 49-35; 50-2; 51-98; 52-87; 53-55; 54-99; 55-5; 56-30; 57-12; 58-28; 59-54; 60-60; 61-39; 62-45; 63-23; 64-6; 65-52; 66-66; 67-44; 68-53; 69-57; 70-84; 71-44; 72-81; 73-48; 74-13; 75-51; 76-94; 77-61; 78-45; 79-30; 80-8; 81-16; 82-0; 84-98; 85-76; 86-5; 87-17; 88-32; 89-70; 90-75; 91-26; 92-59; 93-20; 94-65; 95-64; 96-60; 97-70; 98-24; 99-73;
84 0-31; 1-78; 2-0; 3-0; 4-85; 5-64; 6-75; 7-23; 8-35; 9-93; 10-60; 11-46; 12-70; 13-7; 14-50; 15-58; 16-87; 17-89; 18-57; 19-44; 20-10; 21-40; 22-41; 23-81; 24-1; 25-66; 26-7; 27-60; 28-89; 29-12; 30-44; 31-73; 32-52; 33-53; 34-26; 35-6; 36-86; 37-14; 38-11; 39-40; 40-51; 41-67; 42-31; 43-99; 44-39; 45-62; 46-27; 47-9; 48-57; 49-54; 50-67; 51-79; 52-6; 53-97; 54-62; 55-48; 56-66; 57-96; 58-77; 59-80; 60-76; 61-77; 62-59; 63-13; 64-96; 65-39; 66-36; 67-80; 68-18; 69-58; 70-35; 71-75; 72-59; 73-14; 74-1; 75-75; 76-41; 77-26; 78-46; 79-62; 80-93; 81-63; 82-54; 83-98; 85-75; 86-78; 87-39; 88-98; 89-68; 90-39; 91-23; 92-16; 93-61; 94-23; 95-57; 96-5; 97-75; 98-20; 99-83;
85 0-70; 1-99; 2-75; 3-35; 4-63; 5-81; 6-66; 7-52; 8-52; 9-55; 10-18; 11-51; 12-60; 13-16; 14-79; 15-72; 16-42; 17-14; 18-15; 19-67; 20-53; 21-56; 22-59; 23-6; 24-14; 25-76; 26-44; 27-55; 28-60; 29-51; 30-66; 31-90; 32-10; 33-62; 34-19; 35-66; 36-61; 37-5; 38-25; 39-24; 40-28; 41-37; 42-27; 43-93; 44-79; 45-99; 46-91; 47-42; 48-48; 49-8; 50-24; 51-29; 52-77; 53-9; 54-57; 55-59; 56-4; 57-57; 58-72; 59-5; 60-91; 61-56; 62-94; 63-42; 64-40; 65-3; 66-18; 67-62; 68-30; 69-56; 70-29; 71-24; 72-33; 73-36; 74-43; 75-76; 76-85; 77-55; 78-99; 79-81; 80-33; 81-48; 82-42; 83-76; 84-75; 86-35; 87-95; 88-43; 89-46; 90-76; 91-46; 92-36; 93-46; 94-59; 95-98; 96-78; 97-20; 98-73; 99-53;
86 0-93; 1-80; 2-48; 3-90; 4-90; 5-63; 6-77; 7-1; 8-14; 9-36; 10-22; 11-62; 12-24; 13-90; 14-13; 15-51; 16-32; 17-58; 18-87; 19-80; 20-46; 21-29; 22-78; 23-23; 24-48; 25-34; 26-4; 27-77; 28-91; 29-80; 30-95; 31-14; 32-26; 33-6; 34-45; 35-73; 36-63; 37-35; 38-83; 39-24; 40-9; 41-19; 42-87; 43-65; 44-11; 45-80; 46-32; 47-57; 48-69; 49-89; 50-35; 51-2; 52-13; 53-40; 54-11; 55-52; 56-48; 57-84; 58-21; 59-11; 60-32; 61-28; 62-90; 63-93; 64-89; 65-41; 66-14; 67-62; 68-49; 69-26; 70-76; 71-24; 72-29; 73-37; 74-0; 75-8; 76-17; 77-93; 78-4; 79-0; 80-86; 81-95; 82-2; 83-5; 84-78; 85-35; 87-98; 88-47; 89-33; 90-36; 91-34; 92-39; 93-58; 94-24; 95-35; 96-78; 97-10; 98-62; 99-8;
87 0-33; 1-7; 2-68; 3-11; 4-71; 5-71; 6-17; 7-70; 8-36; 9-59; 10-73; 11-94; 12-84; 13-50; 14-33; 15-23; 16-48; 17-94; 18-87; 19-11; 20-99; 21-54; 22-36; 23-70; 24-71; 25-52; 26-80; 27-26; 28-49; 29-72; 30-80; 31-47; 32-15; 33-17; 34-87; 35-39; 36-26; 37-45; 38-87; 39-30; 40-77; 41-79; 42-81; 43-73; 44-27; 45-20; 46-21; 47-23; 48-32; 49-33; 50-96; 51-84; 52-82; 53-27; 54-97; 55-66; 56-74; 57-32; 58-78; 59-46; 60-73; 61-13; 62-7; 63-7; 64-27; 65-78; 66-35; 67-16; 68-6; 69-8; 70-18; 71-72; 72-77; 73-58; 74-78; 75-29; 76-15; 77-46; 78-28; 79-31; 80-33; 81-25; 82-93; 83-17; 84-39; 85-95; 86-98; 88-91; 89-45; 90-83; 91-78; 92-16; 93-2; 94-24; 95-72; 96-92; 97-26; 98-45; 99-62;
88 0-46; 1-86; 2-69; 3-4; 4-49; 5-94; 6-18; 7-42; 8-38; 9-41; 10-97; 11-70; 12-62; 13-27; 14-3; 15-45; 16-20; 17-42; 18-27; 19-58; 20-82; 21-79; 22-16; 23-43; 24-64; 25-97; 26-0; 27-25; 28-25; 29-13; 30-73; 31-34; 32-70; 33-0; 34-84; 35-92; 36-34; 37-40; 38-84; 39-59; 40-27; 41-93; 42-26; 43-36; 44-91; 45-27; 46-8; 47-66; 48-84; 49-87; 50-2; 51-74; 52-70; 53-61; 54-66; 55-73; 56-62; 57-43; 58-33; 59-59; 60-97; 61-16; 62-88; 63-36; 64-5; 65-25; 66-67; 67-43; 68-91; 69-8; 70-86; 71-19; 72-25; 73-95; 74-30; 75-93; 76-57; 77-47; 78-35; 79-56; 80-66; 81-23; 82-31; 83-32; 84-98; 85-43; 86-47; 87-91; 89-29; 90-61; 91-8; 92-94; 93-35; 94-34; 95-25; 96-38; 97-90; 98-95; 99-94;
89 0-88; 1-1; 2-4; 3-68; 4-12; 5-94; 6-63; 7-91; 8-12; 9-83; 10-49; 11-77; 12-8; 13-8; 14-40; 15-98; 16-87; 17-25; 18-94; 19-16; 20-9; 21-50; 22-56; 23-11; 24-53; 25-51; 26-28; 27-17; 28-25; 29-64; 30-22; 31-41; 32-88; 33-25; 34-6; 35-87; 36-54; 37-32; 38-68; 39-93; 40-89; 41-69; 42-46; 43-26; 44-69; 45-68; 46-32; 47-38; 48-68; 49-74; 50-18; 51-75; 52-19; 53-11; 54-68; 55-4; 56-44; 57-72; 58-34; 59-66; 60-0; 61-76; 62-89; 63-10; 64-67; 65-52; 66-5; 67-22; 68-62; 69-52; 70-55; 71-81; 72-24; 73-23; 74-87; 75-2; 76-86; 77-2; 78-32; 79-7; 80-50; 81-18; 82-79; 83-70; 84-68; 85-46; 86-33; 87-45; 88-29; 90-91; 91-0; 92-80; 93-66; 94-0; 95-41; 96-17; 97-32; 98-43; 99-23;
90 0-83; 1-66; 2-12; 3-1; 4-16; 5-51; 6-62; 7-14; 8-20; 9-85; 10-15; 11-45; 12-15; 13-84; 14-0; 15-15; 16-87; 17-60; 18-47; 19-34; 20-88; 21-6; 22-21; 23-44; 24-82; 25-1; 26-62; 27-5; 28-79; 29-37; 30-3; 31-24; 32-16; 33-80; 34-47; 35-25; 36-69; 37-78; 38-29; 39-79; 40-8; 41-41; 42-23; 43-32; 44-28; 45-78; 46-14; 47-83; 48-33; 49-29; 50-31; 51-66; 52-64; 53-21; 54-66; 55-82; 56-75; 57-21; 58-48; 59-84; 60-43; 61-86; 62-43; 63-36; 64-12; 65-24; 66-59; 67-17; 68-75; 69-33; 70-74; 71-79; 72-28; 73-56; 74-60; 75-48; 76-74; 77-36; 78-51; 79-74; 80-34; 81-55; 82-85; 83-75; 84-39; 85-76; 86-36; 87-83; 88-61; 89-91; 91-67; 92-6; 93-75; 94-1; 95-98; 96-88; 97-19; 98-87; 99-55;
91 0-90; 1-63; 2-30; 3-37; 4-89; 5-70; 6-58; 7-44; 8-3; 9-76; 10-60; 11-95; 12-61; 13-13; 14-1; 15-38; 16-11; 17-70; 18-1; 19-75; 20-82; 21-99; 22-78; 23-24; 24-27; 25-28; 26-21; 27-67; 28-31; 29-24; 30-35; 31-63; 32-50; 33-51; 34-62; 35-8; 36-31; 37-36; 38-96; 39-69; 40-61; 41-57; 42-8; 43-92; 44-57; 45-94; 46-33; 47-7; 48-32; 49-49; 50-66; 51-93; 52-51; 53-68; 54-74; 55-67; 56-58; 57-97; 58-74; 59-60; 60-45; 61-56; 62-72; 63-58; 64-14; 65-15; 66-71; 67-10; 68-25; 69-93; 70-43; 71-32; 72-63; 73-34; 74-96; 75-62; 76-38; 77-62; 78-47; 79-40; 80-9; 81-41; 82-33; 83-26; 84-23; 85-46; 86-34; 87-78; 88-8; 89-0; 90-67; 92-31; 93-32; 94-5; 95-66; 96-98; 97-92; 98-73; 99-56;
92 0-99; 1-83; 2-85; 3-21; 4-50; 5-53; 6-66; 7-55; 8-74; 9-97; 10-86; 11-85; 12-44; 13-87; 14-44; 15-45; 16-96; 17-37; 18-90; 19-3; 20-27; 21-55; 22-75; 23-62; 24-14; 25-56; 26-86; 27-98; 28-42; 29-59; 30-15; 31-5; 32-60; 33-20; 34-62; 35-84; 36-48; 37-38; 38-97; 39-72; 40-33; 41-25; 42-67; 43-82; 44-70; 45-4; 46-78; 47-35; 48-91; 49-42; 50-56; 51-68; 52-60; 53-55; 54-6; 55-32; 56-65; 57-86; 58-34; 59-2; 60-62; 61-78; 62-54; 63-90; 64-5; 65-1; 66-25; 67-74; 68-88; 69-22; 70-75; 71-42; 72-41; 73-92; 74-74; 75-93; 76-24; 77-10; 78-13; 79-16; 80-20; 81-29; 82-3; 83-59; 84-16; 85-36; 86-39; 87-16; 88-94; 89-80; 90-6; 91-31; 93-86; 94-91; 95-17; 96-68; 97-32; 98-31; 99-99;
93 0-64; 1-60; 2-61; 3-74; 4-74; 5-16; 6-25; 7-30; 8-41; 9-26; 10-86; 11-26; 12-39; 13-12; 14-26; 15-66; 16-91; 17-53; 18-60; 19-14; 20-76; 21-48; 22-36; 23-37; 24-92; 25-99; 26-80; 27-70; 28-20; 29-93; 30-57; 31-90; 32-16; 33-15; 34-22; 35-42; 36-8; 37-15; 38-97; 39-82; 40-29; 41-54; 42-44; 43-81; 44-59; 45-52; 46-56; 47-32; 48-68; 49-92; 50-92; 51-94; 52-97; 53-7; 54-55; 55-85; 56-28; 57-62; 58-93; 59-34; 60-89; 61-15; 62-93; 63-93; 64-25; 65-98; 66-50; 67-88; 68-17; 69-67; 70-94; 71-7; 72-91; 73-95; 74-3; 75-22; 76-15; 77-85; 78-10; 79-62; 80-29; 81-93; 82-42; 83-20; 84-61; 85-46; 86-58; 87-2; 88-35; 89-66; 90-75; 91-32; 92-86; 94-61; 95-40; 96-71; 97-64; 98-93; 99-72;
94 0-57; 1-88; 2-55; 3-1; 4-84; 5-81; 6-30; 7-3; 8-86; 9-49; 10-62; 11-68; 12-52; 13-12; 14-25; 15-20; 16-14; 17-82; 18-60; 19-15; 20-28; 21-15; 22-94; 23-34; 24-77; 25-85; 26-64; 27-34; 28-82; 29-83; 30-33; 31-3; 32-94; 33-67; 34-38; 35-22; 36-86; 37-79; 38-0; 39-32; 40-92; 41-22; 42-9; 43-37; 44-27; 45-77; 46-27; 47-92; 48-63; 49-60; 50-95; 51-86; 52-70; 53-44; 54-54; 55-49; 56-13; 57-80; 58-4; 59-48; 60-25; 61-1; 62-6; 63-2; 64-5; 65-18; 66-40; 67-55; 68-24; 69-41; 70-6; 71-60; 72-57; 73-83; 74-56; 75-39; 76-35; 77-20; 78-91; 79-30; 80-53; 81-42; 82-61; 83-65; 84-23; 85-59; 86-24; 87-24; 88-34; 89-0; 90-1; 91-5; 92-91; 93-61; 95-19; 96-11; 97-31; 98-36; 99-77;
95 0-79; 1-63; 2-97; 3-72; 4-83; 5-33; 6-90; 7-1; 8-36; 9-82; 10-93; 11-82; 12-3; 13-47; 14-74; 15-84; 16-76; 17-4; 18-43; 19-24; 20-65; 21-68; 22-69; 23-32; 24-44; 25-26; 26-14; 27-33; 28-23; 29-7; 30-91; 31-33; 32-32; 33-79; 34-49; 35-52; 36-82; 37-8; 38-82; 39-49; 40-31; 41-96; 42-13; 43-35; 44-86; 45-46; 46-2; 47-63; 48-92; 49-90; 50-15; 51-17; 52-74; 53-59; 54-29; 55-98; 56-3; 57-2; 58-67; 59-57; 60-60; 61-73; 62-67; 63-1; 64-91; 65-59; 66-85; 67-79; 68-42; 69-96; 70-36; 71-90; 72-17; 73-15; 74-56; 75-3; 76-14; 77-35; 78-51; 79-58; 80-16; 81-18; 82-0; 83-64; 84-57; 85-98; 86-35; 87-72; 88-25; 89-41; 90-98; 91-66; 92-17; 93-40; 94-19; 96-68; 97-27; 98-39; 99-20;
96 0-77; 1-20; 2-46; 3-67; 4-18; 5-1; 6-50; 7-54; 8-85; 9-98; 10-46; 11-29; 12-91; 13-39; 14-99; 15-24; 16-80; 17-40; 18-37; 19-75; 20-54; 21-93; 22-73; 23-48; 24-44; 25-41; 26-22; 27-53; 28-26; 29-15; 30-80; 31-69; 32-1; 33-12; 34-15; 35-17; 36-68; 37-43; 38-12; 39-89; 40-61; 41-91; 42-67; 43-84; 44-19; 45-29; 46-80; 47-81; 48-50; 49-83; 50-7; 51-53; 52-52; 53-45; 54-98; 55-28; 56-58; 57-49; 58-66; 59-72; 60-87; 61-49; 62-80; 63-48; 64-17; 65-92; 66-72; 67-67; 68-61; 69-26; 70-83; 71-94; 72-84; 73-80; 74-68; 75-93; 76-51; 77-61; 78-0; 79-75; 80-27; 81-65; 82-18; 83-60; 84-5; 85-78; 86-78; 87-92; 88-38; 89-17; 90-88; 91-98; 92-68; 93-71; 94-11; 95-68; 97-36; 98-15; 99-56;
97 0-71; 1-22; 2-76; 3-61; 4-55; 5-43; 6-8; 7-59; 8-41; 9-9; 10-11; 11-10; 12-13; 13-36; 14-63; 15-4; 16-72; 17-51; 18-26; 19-84; 20-69; 21-89; 22-38; 23-94; 24-74; 25-64; 26-81; 27-98; 28-8; 29-34; 30-91; 31-0; 32-32; 33-17; 34-6; 35-50; 36-84; 37-81; 38-9; 39-50; 40-33; 41-49; 42-36; 43-20; 44-52; 45-44; 46-70; 47-6; 48-43; 49-99; 50-63; 51-48; 52-50; 53-89; 54-59; 55-20; 56-87; 57-91; 58-51; 59-7; 60-77; 61-73; 62-81; 63-16; 64-48; 65-25; 66-48; 67-55; 68-20; 69-47; 70-70; 71-61; 72-89; 73-70; 74-83; 75-42; 76-71; 77-43; 78-54; 79-76; 80-72; 81-46; 82-67; 83-70; 84-75; 85-20; 86-10; 87-26; 88-90; 89-32; 90-19; 91-92; 92-32; 93-64; 94-31; 95-27; 96-36; 98-23; 99-81;
98 0-69; 1-34; 2-53; 3-75; 4-97; 5-60; 6-22; 7-45; 8-84; 9-61; 10-12; 11-29; 12-38; 13-97; 14-30; 15-4; 16-96; 17-65; 18-0; 19-76; 20-96; 21-90; 22-84; 23-30; 24-50; 25-6; 26-31; 27-89; 28-24; 29-14; 30-7; 31-90; 32-43; 33-52; 34-4; 35-1; 36-11; 37-88; 38-29; 39-28; 40-79; 41-37; 42-31; 43-11; 44-2; 45-23; 46-21; 47-22; 48-76; 49-80; 50-77; 51-32; 52-79; 53-50; 54-86; 55-53; 56-15; 57-33; 58-19; 59-57; 60-38; 61-72; 62-62; 63-10; 64-94; 65-89; 66-96; 67-0; 68-57; 69-51; 70-29; 71-8; 72-7; 73-34; 74-80; 75-22; 76-66; 77-17; 78-62; 79-2; 80-61; 81-74; 82-69; 83-24; 84-20; 85-73; 86-62; 87-45; 88-95; 89-43; 90-87; 91-73; 92-31; 93-93; 94-36; 95-39; 96-15; 97-23; 99-78;
99 0-79; 1-16; 2-34; 3-11; 4-30; 5-29; 6-81; 7-29; 8-76; 9-34; 10-40; 11-37; 12-14; 13-78; 14-37; 15-36; 16-34; 17-72; 18-74; 19-63; 20-40; 21-34; 22-2; 23-4; 24-6; 25-27; 26-35; 27-71; 28-86; 29-65; 30-73; 31-70; 32-66; 33-27; 34-71; 35-34; 36-86; 37-8; 38-92; 39-40; 40-49; 41-51; 42-12; 43-43; 44-85; 45-84; 46-66; 47-0; 48-53; 49-79; 50-80; 51-14; 52-14; 53-44; 54-0; 55-78; 56-71; 57-33; 58-21; 59-7; 60-61; 61-47; 62-7; 63-53; 64-95; 65-41; 66-94; 67-59; 68-30; 69-17; 70-17; 71-82; 72-32; 73-69; 74-74; 75-90; 76-36; 77-38; 78-35; 79-89; 80-47; 81-87; 82-75; 83-73; 84-83; 85-53; 86-8; 87-62; 88-94; 89-23; 90-55; 91-56; 92-99; 93-72; 94-77; 95-20; 96-56; 97-81; 98-78;
